x,y,demand,open,close,servicetime,drone_serve,time
35.0,35.0,0.0,0.0,1000.0,0.0,0,0.0
35.0,17.0,7.0,18.0,792.0,10.0,0,0.0
55.0,20.0,19.0,679.0,800.0,10.0,1,0.0
15.0,30.0,26.0,20.0,906.0,10.0,0,0.0
50.0,35.0,19.0,15.0,725.0,10.0,1,0.0
15.0,10.0,20.0,32.0,694.0,10.0,0,0.0
45.0,20.0,11.0,18.0,727.0,10.0,1,0.0
45.0,30.0,17.0,328.0,927.0,10.0,1,0.0
35.0,40.0,16.0,44.0,315.0,10.0,0,0.0
41.0,37.0,16.0,6.0,526.0,10.0,0,0.0
64.0,42.0,9.0,29.0,513.0,10.0,1,0.0
31.0,52.0,27.0,17.0,744.0,10.0,1,0.0
53.0,52.0,11.0,24.0,299.0,10.0,1,0.0
65.0,55.0,14.0,265.0,878.0,10.0,1,0.0
2.0,60.0,5.0,41.0,328.0,10.0,0,0.0
60.0,12.0,31.0,33.0,344.0,10.0,1,0.0
42.0,7.0,5.0,336.0,571.0,10.0,1,0.0
24.0,12.0,5.0,25.0,292.0,10.0,0,0.0
6.0,38.0,16.0,29.0,309.0,10.0,0,0.0
8.0,56.0,27.0,34.0,602.0,10.0,0,0.0
27.0,43.0,9.0,11.0,748.0,10.0,0,0.0
21.0,24.0,28.0,17.0,972.0,10.0,1,0.0
27.0,69.0,10.0,34.0,588.0,10.0,0,0.0
62.0,77.0,20.0,49.0,308.0,10.0,1,0.0
49.0,73.0,25.0,532.0,753.0,10.0,1,0.0
47.0,16.0,25.0,22.0,915.0,10.0,0,0.0
46.0,13.0,8.0,681.0,802.0,10.0,0,0.0
49.0,11.0,18.0,27.0,711.0,10.0,1,0.0
15.0,47.0,16.0,23.0,761.0,10.0,0,0.0
14.0,37.0,11.0,21.0,842.0,10.0,1,0.0
16.0,22.0,41.0,110.0,727.0,10.0,1,0.0
28.0,18.0,26.0,397.0,470.0,10.0,1,0.0
26.0,52.0,9.0,219.0,448.0,10.0,1,0.0
15.0,19.0,1.0,222.0,964.0,10.0,1,0.0
22.0,22.0,2.0,18.0,159.0,10.0,0,0.0
25.0,24.0,20.0,14.0,793.0,10.0,0,0.0
19.0,21.0,10.0,21.0,748.0,10.0,1,0.0
57.0,48.0,23.0,377.0,476.0,10.0,0,1.1492598812919246
12.0,24.0,13.0,126.0,541.0,10.0,0,2.3453785268978686
41.0,49.0,10.0,190.0,974.0,10.0,0,2.810112489073473
20.0,50.0,5.0,72.0,669.0,10.0,0,4.611000385081553
15.0,60.0,17.0,95.0,552.0,10.0,0,14.045377446824101
61.0,52.0,3.0,324.0,559.0,10.0,1,24.634734947856195
22.0,27.0,11.0,344.0,953.0,10.0,0,24.892294360494667
11.0,14.0,18.0,230.0,343.0,10.0,1,27.681255506934693
57.0,68.0,15.0,98.0,537.0,10.0,0,32.47083524140156
24.0,58.0,19.0,168.0,297.0,10.0,1,34.4746525523321
10.0,20.0,19.0,102.0,543.0,10.0,1,34.789361553083836
5.0,5.0,16.0,298.0,409.0,10.0,0,35.90253514781628
15.0,77.0,9.0,154.0,393.0,10.0,1,37.19704013999267
37.0,47.0,6.0,165.0,290.0,10.0,1,42.44646531979614
49.0,42.0,13.0,281.0,382.0,10.0,1,50.52955676608258
13.0,52.0,36.0,200.0,962.0,10.0,0,51.22151879255041
20.0,40.0,12.0,229.0,582.0,10.0,1,51.69966284931658
55.0,54.0,26.0,268.0,599.0,10.0,1,54.68011085383756
44.0,17.0,9.0,143.0,564.0,10.0,0,58.41000766344365
49.0,58.0,10.0,176.0,625.0,10.0,0,60.778055535319695
65.0,35.0,3.0,435.0,960.0,10.0,0,62.99065253735885
20.0,65.0,12.0,206.0,325.0,10.0,1,67.1804887337745
55.0,5.0,29.0,206.0,325.0,10.0,1,67.2543843750903
47.0,47.0,13.0,272.0,917.0,10.0,1,68.67934323654158
30.0,5.0,8.0,176.0,299.0,10.0,1,69.64283478432765
55.0,45.0,13.0,289.0,822.0,10.0,1,70.55819605124525
40.0,60.0,21.0,199.0,414.0,10.0,1,72.72517516252505
37.0,31.0,14.0,403.0,500.0,10.0,0,74.86281818031944
2.0,48.0,1.0,338.0,805.0,10.0,1,76.76475739775769
10.0,43.0,9.0,393.0,492.0,10.0,1,90.13303430015354
6.0,68.0,30.0,441.0,600.0,10.0,0,98.81469752934994
26.0,27.0,27.0,190.0,749.0,10.0,1,108.81235765323338
23.0,3.0,7.0,458.0,867.0,10.0,1,113.08902232824417
67.0,5.0,25.0,291.0,404.0,10.0,1,119.99309681664329
31.0,67.0,3.0,225.0,654.0,10.0,1,122.24284075222012
30.0,60.0,16.0,517.0,692.0,10.0,0,136.50237726525162
11.0,31.0,7.0,425.0,522.0,10.0,0,144.52322712002643
4.0,18.0,35.0,230.0,623.0,10.0,1,161.66061776853482
32.0,12.0,7.0,246.0,705.0,10.0,1,163.89225827016134
30.0,25.0,23.0,694.0,823.0,10.0,1,169.60882410503385
63.0,23.0,2.0,620.0,739.0,10.0,0,189.098627118471
20.0,26.0,9.0,328.0,437.0,10.0,0,189.27220091533917
20.0,20.0,8.0,339.0,960.0,10.0,0,198.74565074582958
57.0,29.0,18.0,475.0,900.0,10.0,0,205.89483454988772
40.0,25.0,9.0,300.0,497.0,10.0,1,220.0256689358432
53.0,43.0,14.0,821.0,948.0,10.0,0,223.51073373783422
25.0,30.0,3.0,355.0,574.0,10.0,1,223.88843147607372
45.0,10.0,18.0,349.0,554.0,10.0,0,236.7939550230689
17.0,34.0,3.0,449.0,971.0,10.0,0,253.39810033325477
55.0,60.0,16.0,394.0,503.0,10.0,1,254.09252726797845
25.0,21.0,12.0,462.0,823.0,10.0,0,272.7140786458382
65.0,20.0,6.0,826.0,956.0,10.0,0,279.6759810809608
35.0,69.0,23.0,482.0,955.0,10.0,1,285.0155889652315
26.0,35.0,15.0,409.0,981.0,10.0,1,312.23033318442316
53.0,12.0,6.0,525.0,752.0,10.0,0,312.83797814479374
45.0,65.0,9.0,418.0,829.0,10.0,0,317.2839647407822
37.0,56.0,5.0,668.0,968.0,10.0,0,361.8931940457315
18.0,24.0,22.0,691.0,969.0,10.0,0,367.7660206527027
63.0,65.0,8.0,626.0,873.0,10.0,1,390.83532912923937
56.0,39.0,36.0,577.0,812.0,10.0,1,421.38779081758105
56.0,37.0,6.0,719.0,968.0,10.0,1,521.7011356056155
18.0,18.0,17.0,821.0,965.0,10.0,0,526.8716581499077
5.0,30.0,2.0,673.0,930.0,10.0,1,544.1327830080154
36.0,26.0,18.0,854.0,980.0,10.0,0,712.8599549433567
